Customer_id,corp,cohort,cohort_text,ethnic,language,groupcode,cust_res,enhanced_est_income,i1_combined_age,i1_gendercode,dwelling_type,length_of_residence,number_of_children,occupation_group1,education_individual1,product_id,zipcode,ethnic1,lnguage,lnth_res
195,7806,B07,B07,I4,1,A,5,A,I44,F,M,0,0,I6,55,5,6605,AFRICAN AMERICAN,ENGLISH,0 Years
196,7801,O68,O68,19,1,E,1,F,E69,F,A,35,0,I9,51,18,11768,ITALIAN,ENGLISH,31-35 Years
197,7868,F33,F33,85,~,A,14,B,I30,F,A,0,1,I6,52,18,11776,AFRICAN AMERICAN,UNKNOWN,0 Years
198,7837,B12,B12,~,~,~,6,E,E33,F,A,5,0,I3,52,18,10467,UNKNOWN,UNKNOWN,1-5 Years
199,7858,K58,K58,15,~,K,4,F,E65,M,S,38,1,I9,53,18,11557,IRISH,UNKNOWN,36+ Years
200,7808,N66,N66,15,1,K,5,L,E46,M,S,10,2,I1,53,18,6897,IRISH,ENGLISH,6-10 Years
201,7858,L63,L63,15,1,K,2,B,E71,F,A,1,1,K3,13,18,11530,IRISH,ENGLISH,1-5 Years
202,7801,K59,K59,XG,7A,C,1,I,E61,M,S,23,0,K1,13,18,11801,S ASIAN,HINDI,20-25 Years
203,7840,L63,L63,19,1,E,1,E,E78,M,A,11,0,I9,53,18,11766,ITALIAN,ENGLISH,11-15 Years
204,7808,N67,N67,19,~,E,6,L,E33,M,S,2,0,I1,54,18,6896,ITALIAN,UNKNOWN,1-5 Years
205,7801,J51,J51,10,1,K,1,G,E78,M,S,43,3,I9,53,18,11743,GERMAN,ENGLISH,36+ Years
206,7803,P70,P70,16,1,K,1,L,E93,F,S,46,0,I9,55,18,10707,WELSH,ENGLISH,36+ Years
207,7840,J53,J53,19,1,E,6,F,E32,F,S,24,0,I8,54,18,11779,ITALIAN,ENGLISH,20-25 Years
208,7858,K58,K58,1,1,K,2,G,E52,F,S,33,0,I5,13,18,11783,ENGLISH,ENGLISH,31-35 Years
209,7840,P70,P70,19,1,E,2,K,I53,U,S,10,0,I3,53,18,11754,ITALIAN,ENGLISH,6-10 Years
210,7869,O68,O68,15,1,K,2,J,E59,F,S,14,0,K1,13,18,10707,IRISH,ENGLISH,11-15 Years
